address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 Абая 164 к.3 — Брусиловского,53 500 000 〒,2, 65, 16/17,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 мкр №10 23,33 000 000 〒,3, 60, 4,['панельный дом'],['1967 г.п.'],['Ауэзовский р-н']
 Жунисова,25 500 000 〒,2, 52.8, 8/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 Мкр. Шугыла 340/3к11,20 500 000 〒,1, 31.8, 2/10,['монолитный дом'],['2023 г.п.'],[]
 Досмухамедова,16 000 000 〒,1, 18, 5/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
" мкр Шугыла, Жунисова 10 к1",19 000 000 〒,2, 49, 6/6,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Жунисова 8/8,20 500 000 〒,2, 42.8, 8/10,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 мкр №7 — Абая Алтынсарина,10 500 000 〒,1, 14, 1/4,['панельный дом'],['1972 г.п.'],['Ауэзовский р-н']
 мкр Жас Канат 1/69,23 001 000 〒,1, 40, 2/5,['монолитный дом'],['2017 г.п.'],['Турксибский р-н']
 Сейфуллина 499/131 — проспект Жибек Жолы,70 000 000 〒,3, 97, 9/12,['монолитный дом'],['2017 г.п.'],['Алмалинский р-н']
 мкр Шугыла 13 — Alma city-4,30 500 000 〒,3, 93, 1/6,[],['2022 г.п.'],['Наурызбайский р-н']
 Толе би 273/9 — Варламова,50 000 000 〒,2, 56, 8/15,['панельный дом'],['2016 г.п.'],['Алмалинский р-н']
 мкр Боралдай (Бурундай) Ленина 3,23 000 000 〒,2, 40, 1/2,['кирпичный дом'],['1968 г.п.'],['Алатауский р-н']
 мкр Орбита-2 31,32 500 000 〒,2, 44.8, 4/5,['панельный дом'],['1975 г.п.'],['Бостандыкский р-н']
" мкр Ожет, Бокеева 1а",30 000 000 〒,1, 40, 6/9,['панельный дом'],['2017 г.п.'],['Алатауский р-н']
 Толе би 11 — Толе би - Каирбекова,23 500 000 〒,2, 54, 1/2,['через дом'],['1935 г.п.'],['Медеуский р-н']
 мкр Алмагуль 2 — Ходжанова,48 000 000 〒,3, 65.4, 1/5,['панельный дом'],['1981 г.п.'],['Бостандыкский р-н']
 Сатпаева 90/43а,65 000 000 〒,3, 70, 6/16,['монолитный дом'],['2019 г.п.'],['Бостандыкский р-н']
" мкр Шугыла, Микрорайон «Шугыла» 341/3 к7",26 000 000 〒,1, 45, 7/9,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 Сейфуллина 497 — Пастера-Сейфуллина,35 000 000 〒,1, 40.8, 5/5,['панельный дом'],['1988 г.п.'],['Алатауский р-н']
 Райымбека,35 000 000 〒,1, 48, 1/9,['монолитный дом'],['2006 г.п.'],['Жетысуский р-н']
 Саина — Маречека,41 000 000 〒,3, 68, 4/5,['панельный дом'],['1974 г.п.'],['Ауэзовский р-н']
 мкр №1,33 000 000 〒,3, 59, 2/4,['панельный дом'],['1963 г.п.'],['Ауэзовский р-н']
 Торекулова 91 — Сейфуллина,40 000 000 〒,1, 44, 9/12,['монолитный дом'],['2023 г.п.'],[]
 Кунаева 83а — Казыбек би,50 000 000 〒,3, 60, 3/4,['кирпичный дом'],['1964 г.п.'],['Медеуский р-н']
 мкр Аксай-1А 28 а — Момышулы -толе би,20 000 000 〒,1, 20, 5/9,['монолитный дом'],['2014 г.п.'],['Ауэзовский р-н']
" улица Байзакова 127 — Рядом с Nomad Insurance, дом стоит напротив 136 гимназии вдоль Байзакова на пересечении Айтеке би (бывшая Октябрьская)",47 000 000 〒,3, 62, 5/5,['панельный дом'],['1972 г.п.'],['Алмалинский р-н']
 Жунисова,24 000 000 〒,1, 34, 1/6,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 мкр Жулдыз-2 8в,26 000 000 〒,2, 56, 6/6,['монолитный дом'],['2007 г.п.'],['Турксибский р-н']
 Мкр. Шугыла 340/3,22 500 000 〒,1, 37, 9/10,['монолитный дом'],['2023 г.п.'],['Наурызбайский р-н']
 мкр Мамыр-1 29,82 000 000 〒,3, 118, 2/17,['монолитный дом'],['2016 г.п.'],['Ауэзовский р-н']
 Абишева 36/1,42 000 000 〒,2, 56, 3/14,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 мкр Алтай-2 12 — Домбровского,33 000 000 〒,3, 63, 4/4,['панельный дом'],['1974 г.п.'],['Турксибский р-н']
 Акселеу Сейдембек 105/6,36 000 000 〒,2, 53.4, 4/5,['монолитный дом'],['2023 г.п.'],['Наурызбайский р-н']
 Сейфуллина 51,33 900 000 〒,3, 67, 2/10,['монолитный дом'],['2022 г.п.'],['Турксибский р-н']
" мкр Акбулак, 3-я 19",42 500 000 〒,2, 54.5, 9/12,['монолитный дом'],['2018 г.п.'],['Алатауский р-н']
 Маметовой 45 — проспект Абылай Хана,30 000 000 〒,2, 41, 2/4,['кирпичный дом'],['1961 г.п.'],['Алмалинский р-н']
 мкр №6,27 000 000 〒,2, 46, 3/4,['панельный дом'],['1965 г.п.'],['Ауэзовский р-н']
 Толе би — Лихачева,63 000 000 〒,3, 90, 8/12,['монолитный дом'],['2012 г.п.'],['Алмалинский р-н']
 мкр Кокжиек 25,20 000 000 〒,1, 38, 1/6,['монолитный дом'],['2010 г.п.'],['Жетысуский р-н']
 мкр Тастак-1,35 000 000 〒,3, 60.8, 4/5,['панельный дом'],['1980 г.п.'],['Ауэзовский р-н']
 мкр Мамыр-2,56 000 000 〒,4, 85, 3/5,['панельный дом'],['1993 г.п.'],['Ауэзовский р-н']
 Азовская 21 — За ТЭЦ 1,10 000 000 〒,1, 23, 2/2,['кирпичный дом'],['1960 г.п.'],['Жетысуский р-н']
 Рыскулова,10 800 000 〒,1, 18, 1/4,['монолитный дом'],['2010 г.п.'],['Алатауский р-н']
" мкр Алмагуль, Гагарина 157 а — Утепова",33 000 000 〒,1, 31, 3/4,['кирпичный дом'],['1961 г.п.'],['Бостандыкский р-н']
 Есенова 160/3,24 999 999 〒,1, 38, 5/13,['монолитный дом'],['2022 г.п.'],['Жетысуский р-н']
 мкр Кокжиек,30 000 000 〒,2, 64, 1/6,['монолитный дом'],['2008 г.п.'],['Жетысуский р-н']
 Розыбакиева 125/3 — Тимирязева,55 000 000 〒,3, 63.6, 1/5,[],['1964 г.п.'],['Бостандыкский р-н']
 мкр Жас Канат 1/21,38 000 000 〒,2, 63.5, 3/9,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
 Сейфуллина 51,27 900 000 〒,2, 64.45, 6/9,['монолитный дом'],['2022 г.п.'],['Турксибский р-н']
 мкр Калкаман-2 10 а,7 000 000 〒,1, 11, 2/5,['кирпичный дом'],['1983 г.п.'],['Наурызбайский р-н']
" мкр Жетысу-3, Момышулы",40 000 000 〒,2, 52, 1/9,['кирпичный дом'],['1994 г.п.'],['Ауэзовский р-н']
 Толе би 285/8 корпус 7 — Отеген батыра,43 000 000 〒,2, 65.4, 1/10,['монолитный дом'],['2021 г.п.'],[]
 Утеген батыра — Кабдолова,55 000 000 〒,3, 60, 5/5,['панельный дом'],['1995 г.п.'],['Ауэзовский р-н']
" мкр Кайрат, Сарыарка 1/1",23 500 000 〒,1, 45, 4/9,['монолитный дом'],['2021 г.п.'],['Турксибский р-н']
" мкр Хан Тенгри, Кенесары Хана 83/3",23 500 000 〒,2, 33, 6/6,['монолитный дом'],['2013 г.п.'],['Бостандыкский р-н']
 Алтын Орда 6/42,13 500 000 〒,1, 26, 9/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Райымбека 241,26 500 000 〒,1, 44, 6/9,['монолитный дом'],['2008 г.п.'],['Жетысуский р-н']
 мкр Зердели (Алгабас-6) 1/178,23 500 000 〒,1, 46, 7/9,['монолитный дом'],['2014 г.п.'],['Алатауский р-н']
 Саина 8,12 500 000 〒,1, 15.2, 3/4,['кирпичный дом'],['1972 г.п.'],['Ауэзовский р-н']
" мкр Акбулак, 3-я улица 11",35 000 000 〒,2, 58, 4/12,['монолитный дом'],['2019 г.п.'],['Алатауский р-н']
 Кульджинский тракт 156/5,24 500 000 〒,2, 51.58, 9/12,['монолитный дом'],['2023 г.п.'],['Жетысуский р-н']
 мкр Шугыла — Жуалы,30 500 000 〒,2, 61, 5/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 мкр Орбита-3 — Саина торайгырова,42 000 000 〒,3, 59, 1/5,['панельный дом'],['1976 г.п.'],['Бостандыкский р-н']
